# official_schedule.csv - year-ahead PUBLISHED dates of the big scheduled releases for the lineup currencies
# (coach ruling 2026-09-16, forward horizon). Purpose: the 2-week events panel + the advisory 'next big release inside
# the hold' line. NOT enforcement: the binding V rule is entry-time (<6h) and ForexFactory's week covers that.
# Merged UNDER ForexFactory by normalize_econ_tzfix.py: when FF has the same release on the same UTC date, FF's row wins
# (exact time). Engineer maintains from fed.gov / ecb.europa.eu / bankofengland.co.uk / bls.gov; coach reviews annually.
# Times UTC, converted from publisher local time (FOMC 14:00 ET, ECB 14:15 CET, BoE 12:00 UK, BLS 08:30 ET).
# Maintenance: BLS publishes its next-year schedule in Q4 -> add 2027 NFP/CPI then; BoE 2027 dates are provisional.
date_utc_start,date_utc_end,ccy,event,class,source,round
2026.12.09 19:30,2026.12.09 20:30,USD,FOMC Press Conference,V,fed.gov fomccalendars 2026-09-16,1
2026.12.10 13:30,2026.12.10 14:30,USD,CPI m/m,V,bls.gov cpi 2026-09-16,1
2026.12.17 12:00,2026.12.17 13:00,GBP,Official Bank Rate,V,boe.co.uk mpc dates 2026-09-16,1
2026.12.17 13:15,2026.12.17 14:15,EUR,Main Refinancing Rate,V,ecb.europa.eu calendar 2026-09-16,1
2026.12.17 13:45,2026.12.17 14:45,EUR,ECB Press Conference,V,ecb.europa.eu calendar 2026-09-16,1
2027.01.27 19:00,2027.01.27 20:00,USD,Federal Funds Rate,V,fed.gov fomccalendars 2026-09-16,1
2027.01.27 19:30,2027.01.27 20:30,USD,FOMC Press Conference,V,fed.gov fomccalendars 2026-09-16,1
2027.02.04 12:00,2027.02.04 13:00,GBP,Official Bank Rate,V,boe.co.uk mpc dates 2026-09-16 (provisional),1
2027.02.04 13:15,2027.02.04 14:15,EUR,Main Refinancing Rate,V,ecb.europa.eu calendar 2026-09-16,1
2027.02.04 13:45,2027.02.04 14:45,EUR,ECB Press Conference,V,ecb.europa.eu calendar 2026-09-16,1
2027.03.17 18:00,2027.03.17 19:00,USD,Federal Funds Rate,V,fed.gov fomccalendars 2026-09-16,1
2027.03.17 18:30,2027.03.17 19:30,USD,FOMC Press Conference,V,fed.gov fomccalendars 2026-09-16,1
2027.03.18 12:00,2027.03.18 13:00,GBP,Official Bank Rate,V,boe.co.uk mpc dates 2026-09-16 (provisional),1
2027.03.18 13:15,2027.03.18 14:15,EUR,Main Refinancing Rate,V,ecb.europa.eu calendar 2026-09-16,1
2027.03.18 13:45,2027.03.18 14:45,EUR,ECB Press Conference,V,ecb.europa.eu calendar 2026-09-16,1
2027.04.28 18:00,2027.04.28 19:00,USD,Federal Funds Rate,V,fed.gov fomccalendars 2026-09-16,1
2027.04.28 18:30,2027.04.28 19:30,USD,FOMC Press Conference,V,fed.gov fomccalendars 2026-09-16,1
2027.04.29 11:00,2027.04.29 12:00,GBP,Official Bank Rate,V,boe.co.uk mpc dates 2026-09-16 (provisional),1
2027.04.29 12:15,2027.04.29 13:15,EUR,Main Refinancing Rate,V,ecb.europa.eu calendar 2026-09-16,1
2027.04.29 12:45,2027.04.29 13:45,EUR,ECB Press Conference,V,ecb.europa.eu calendar 2026-09-16,1
2027.06.09 18:00,2027.06.09 19:00,USD,Federal Funds Rate,V,fed.gov fomccalendars 2026-09-16,1
2027.06.09 18:30,2027.06.09 19:30,USD,FOMC Press Conference,V,fed.gov fomccalendars 2026-09-16,1
2027.06.10 12:15,2027.06.10 13:15,EUR,Main Refinancing Rate,V,ecb.europa.eu calendar 2026-09-16,1
2027.06.10 12:45,2027.06.10 13:45,EUR,ECB Press Conference,V,ecb.europa.eu calendar 2026-09-16,1
2027.06.17 11:00,2027.06.17 12:00,GBP,Official Bank Rate,V,boe.co.uk mpc dates 2026-09-16 (provisional),1
2027.07.22 12:15,2027.07.22 13:15,EUR,Main Refinancing Rate,V,ecb.europa.eu calendar 2026-09-16,1
2027.07.22 12:45,2027.07.22 13:45,EUR,ECB Press Conference,V,ecb.europa.eu calendar 2026-09-16,1
2027.07.28 18:00,2027.07.28 19:00,USD,Federal Funds Rate,V,fed.gov fomccalendars 2026-09-16,1
2027.07.28 18:30,2027.07.28 19:30,USD,FOMC Press Conference,V,fed.gov fomccalendars 2026-09-16,1
2027.07.29 11:00,2027.07.29 12:00,GBP,Official Bank Rate,V,boe.co.uk mpc dates 2026-09-16 (provisional),1
2027.09.09 12:15,2027.09.09 13:15,EUR,Main Refinancing Rate,V,ecb.europa.eu calendar 2026-09-16,1
2027.09.09 12:45,2027.09.09 13:45,EUR,ECB Press Conference,V,ecb.europa.eu calendar 2026-09-16,1
2027.09.15 18:00,2027.09.15 19:00,USD,Federal Funds Rate,V,fed.gov fomccalendars 2026-09-16,1
2027.09.15 18:30,2027.09.15 19:30,USD,FOMC Press Conference,V,fed.gov fomccalendars 2026-09-16,1
2027.09.16 11:00,2027.09.16 12:00,GBP,Official Bank Rate,V,boe.co.uk mpc dates 2026-09-16 (provisional),1
2027.10.27 18:00,2027.10.27 19:00,USD,Federal Funds Rate,V,fed.gov fomccalendars 2026-09-16,1
2027.10.27 18:30,2027.10.27 19:30,USD,FOMC Press Conference,V,fed.gov fomccalendars 2026-09-16,1
2027.10.28 12:15,2027.10.28 13:15,EUR,Main Refinancing Rate,V,ecb.europa.eu calendar 2026-09-16,1
2027.10.28 12:45,2027.10.28 13:45,EUR,ECB Press Conference,V,ecb.europa.eu calendar 2026-09-16,1
2027.11.04 12:00,2027.11.04 13:00,GBP,Official Bank Rate,V,boe.co.uk mpc dates 2026-09-16 (provisional),1
2027.12.08 19:00,2027.12.08 20:00,USD,Federal Funds Rate,V,fed.gov fomccalendars 2026-09-16,1
2027.12.08 19:30,2027.12.08 20:30,USD,FOMC Press Conference,V,fed.gov fomccalendars 2026-09-16,1
2027.12.16 12:00,2027.12.16 13:00,GBP,Official Bank Rate,V,boe.co.uk mpc dates 2026-09-16 (provisional),1
2027.12.16 13:15,2027.12.16 14:15,EUR,Main Refinancing Rate,V,ecb.europa.eu calendar 2026-09-16,1
2027.12.16 13:45,2027.12.16 14:45,EUR,ECB Press Conference,V,ecb.europa.eu calendar 2026-09-16,1
